"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Dec 29 06:05:36 BDT 2022","Thu Dec 29 06:05:36 BDT 2022","2","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","noEmployeeData","Again click in employee status and search for freeelance employee for geting no records found",""
"passed","Thu Dec 29 06:05:51 BDT 2022","Thu Dec 29 06:06:00 BDT 2022","8798","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","selectEmployementStatus","select employee status and search to show the list",""
"passed","Thu Dec 29 06:05:40 BDT 2022","Thu Dec 29 06:05:48 BDT 2022","8396","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithWrongData","User can not login with wrong credentials",""
"passed","Thu Dec 29 06:05:50 BDT 2022","Thu Dec 29 06:05:50 BDT 2022","456","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","checkProfile_ImgExist","checkProfile_ImgExist",""
"unknown","Thu Dec 29 06:06:03 BDT 2022","Thu Dec 29 06:06:03 BDT 2022","0","Orange HRM create employee Automation Suite","Create employee successfully","TestRunner.EmployeeTestRunner","TestRunner.EmployeeTestRunner","checkIfUserExist","check if user already exists",""
"passed","Thu Dec 29 06:06:00 BDT 2022","Thu Dec 29 06:06:03 BDT 2022","3167","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","listEmployee","Showing employee list which have selected",""
"passed","Thu Dec 29 06:05:48 BDT 2022","Thu Dec 29 06:05:50 BDT 2022","1476","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLogin","Admin login successfully",""
"passed","Thu Dec 29 06:06:14 BDT 2022","Thu Dec 29 06:06:17 BDT 2022","3546","Orange HRM create employee Automation Suite","Create employee successfully","TestRunner.EmployeeTestRunner","TestRunner.EmployeeTestRunner","EmployementPage","EmployementPage",""
"passed","Thu Dec 29 06:06:17 BDT 2022","Thu Dec 29 06:06:23 BDT 2022","5297","Orange HRM create employee Automation Suite","Create employee successfully","TestRunner.EmployeeTestRunner","TestRunner.EmployeeTestRunner","createEmployee","create new employee as a admin",""
"passed","Thu Dec 29 06:05:50 BDT 2022","Thu Dec 29 06:05:51 BDT 2022","1202","Orange HRM admin login Automation Suite","Admin can login successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","EmployementPage","swtich into employee page from dashboard page",""
